taxid	rank
family	31
family	39
family	49
family	126
family	137
family	170
family	403
family	433
family	444
family	468
family	481
family	506
family	543
family	641
family	712
family	772
family	775
family	809
family	815
family	868
family	942
family	972
family	1046
family	1106
family	1162
family	1182
family	1185
family	1189
family	1213
family	1268
family	1300
family	1653
family	1762
family	2004
family	2012
family	2049
family	2062
family	2070
family	2092
family	2131
family	2146
family	2159
family	2178
family	2183
family	2194
family	2206
family	2232
family	2236
family	2259
family	2267
family	2272
family	2307
family	2799
family	2803
family	2808
family	2814
family	2820
family	2874
family	2878
family	2887
family	2891
family	2896
family	2943
family	2975
family	2979
family	3010
family	3014
family	3024
family	3043
family	3051
family	3062
family	3065
family	3070
family	3086
family	3090
family	3103
family	3114
family	3122
family	3127
family	3131
family	3135
family	3142
family	3146
family	3173
family	3178
family	3201
family	3211
family	3216
family	3220
family	3223
family	3227
family	3238
family	3245
family	3250
family	3256
family	3265
family	3269
family	3272
family	3275
family	3282
family	3298
family	3309
family	3318
family	3362
family	3367
family	3375
family	3379
family	3386
family	3394
family	3401
family	3417
family	3424
family	3427
family	3433
family	3440
family	3455
family	3458
family	3465
family	3474
family	3481
family	3487
family	3499
family	3503
family	3514
family	3520
family	3525
family	3536
family	3542
family	3563
family	3568
family	3581
family	3584
family	3587
family	3590
family	3593
family	3602
family	3608
family	3615
family	3623
family	3629
family	3642
family	3647
family	3650
family	3680
family	3683
family	3688
family	3700
family	3733
family	3737
family	3745
family	3773
family	3776
family	3781
family	3792
family	3803
family	3928
family	3931
family	3934
family	3954
family	3958
family	3963
family	3973
family	3977
family	3997
family	4000
family	4004
family	4007
family	4011
family	4014
family	4018
family	4027
family	4033
family	4037
family	4050
family	4056
family	4070
family	4118
family	4130
family	4136
family	4144
family	4149
family	4180
family	4185
family	4196
family	4200
family	4206
family	4210
family	4268
family	4274
family	4286
family	4289
family	4294
family	4305
family	4310
family	4313
family	4321
family	4324
family	4328
family	4335
family	4339
family	4345
family	4353
family	4360
family	4374
family	4381
family	4386
family	4390
family	4401
family	4405
family	4410
family	4422
family	4429
family	4434
family	4437
family	4449
family	4454
family	4479
family	4609
family	4613
family	4619
family	4626
family	4630
family	4637
family	4642
family	4652
family	4656
family	4660
family	4668
family	4671
family	4674
family	4677
family	4703
family	4710
family	4724
family	4731
family	4736
family	4740
family	4747
family	4764
family	4777
family	4782
family	4801
family	4806
family	4812
family	4851
family	4854
family	4858
family	4862
family	4870
family	4883
family	4893
family	4894
family	5009
family	5020
family	5023
family	5103
family	5117
family	5129
family	5136
family	5148
family	5152
family	5181
family	5186
family	5189
family	5192
family	5198
family	5215
family	5222
family	5227
family	5237
family	5245
family	5250
family	5254
family	5259
family	5262
family	5268
family	5274
family	5279
family	5304
family	5317
family	5332
family	5339
family	5351
family	5368
family	5389
family	5394
family	5398
family	5401
family	5405
family	5408
family	5426
family	5593
family	5654
family	5708
family	5739
family	5765
family	5776
family	5799
family	5809
family	5972
family	5978
family	5985
family	6002
family	6037
family	6045
family	6050
family	6056
family	6060
family	6077
family	6080
family	6089
family	6094
family	6098
family	6126
family	6139
family	6146
family	6166
family	6170
family	6196
family	6208
family	6214
family	6222
family	6228
family	6243
family	6246
family	6250
family	6267
family	6296
family	6301
family	6315
family	6332
family	6366
family	6374
family	6378
family	6388
family	6392
family	6400
family	6407
family	6417
family	6429
family	6434
family	6440
family	6451
family	6462
family	6466
family	6470
family	6476
family	6480
family	6483
family	6486
family	6489
family	6498
family	6515
family	6521
family	6524
family	6528
family	6533
family	6540
family	6547
family	6553
family	6563
family	6566
family	6581
family	6585
family	6588
family	6592
family	6602
